mode_ind,y2017,av_car,av_par_act,av_kid_act,log_inc_k,veh_per_driver,non_work_dad,non_work_mom,age,female,has_lil_sib,has_big_sib,log_distance,log_density
1,0,1,1,1,1.047318994280559,1,0,1,11,1,0,0,-0.25131442825233463,8.85366542803745
3,0,1,1,1,4.343155860284888,1.5,0,1,11,1,0,0,-1.504077396876274,7.313220387090301
1,0,1,1,1,3.4452142670789296,1,0,0,12,0,1,0,-0.25131442825233463,9.740968623038354
1,0,1,1,1,4.481306198765705,2.5,0,0,13,0,1,0,-0.25131442825233463,8.006367567650246
1,0,1,1,1,5.072670685015709,1,0,0,10,0,1,0,-0.40546510805816444,9.740968623038354
1,0,1,1,1,4.182813210209709,1,0,0,9,0,1,0,-0.5877866648221189,8.85366542803745
1,0,1,1,1,5.072670685015709,1,0,0,9,1,0,0,-0.25131442825233463,8.85366542803745
1,0,1,1,1,4.182813210209709,2,0,1,11,0,0,0,-0.25131442825233463,7.313220387090301
3,0,1,1,1,3.9917579734469997,1,0,0,13,0,1,0,0,8.85366542803745
1,0,1,1,1,5.072670685015709,1,0,1,8,0,1,0,-0.25131442825233463,7.313220387090301
1,0,1,1,1,3.6122683517420957,1,0,0,7,0,0,0,0,8.85366542803745
3,0,1,1,1,5.072670685015709,4,0,0,14,0,0,0,0,10.308952660644293
1,0,1,1,1,3.880532338336775,1,0,0,14,0,0,0,0,3.912023005428146
3,0,1,1,1,3.2445435716167785,1,0,0,13,1,0,0,-2.197224577436219,5.703782474656201
3,0,1,1,1,3.880532338336775,1,1,0,8,1,1,1,-1.0986122887681098,8.85366542803745
3,0,1,1,1,3.4452142670789296,0.5,0,0,9,1,1,0,-0.6931471805599453,8.006367567650246
1,0,1,1,1,3.755369195382769,1,0,1,11,0,0,0,0,6.620073206530356
1,0,1,1,1,2.6567569067146595,1,0,1,7,1,0,1,-0.5877866648221189,5.703782474656201
1,0,1,1,1,5.072670685015709,1,0,1,10,0,0,0,-1.504077396876274,9.740968623038354
1,0,1,1,1,3.2445435716167785,1,0,1,11,1,0,0,-1.0986122887681098,9.740968623038354
1,0,1,1,1,2.9932291433358724,2,0,1,13,1,0,0,-0.11778303564388351,9.740968623038354
3,0,1,1,1,3.2445435716167785,0.5,0,1,7,1,1,0,-1.504077396876274,8.006367567650246
3,0,1,1,1,4.414614824267033,1,0,1,12,0,1,0,-0.5877866648221189,8.85366542803745
3,0,1,1,1,5.072670685015709,1,1,0,11,1,0,1,-2.197224577436219,8.006367567650246
3,0,1,1,1,3.4452142670789296,0.5,1,1,10,0,0,1,-0.8109302163163287,5.703782474656201
1,0,1,1,1,2.6567569067146595,1,0,0,10,0,1,0,-0.11778303564388351,8.85366542803745
1,0,1,1,1,4.343155860284888,1,0,0,8,1,0,0,0,8.85366542803745
3,0,1,1,1,3.2445435716167785,1,0,0,10,0,0,0,-1.504077396876274,8.85366542803745
3,0,1,1,1,2.6567569067146595,1,0,0,9,1,1,0,-0.40546510805816444,8.85366542803745
3,0,1,1,1,2.1459312829486685,1,0,1,12,0,0,0,-1.0986122887681098,8.85366542803745
1,0,1,1,1,2.6567569067146595,1,0,0,12,1,1,0,-0.8109302163163287,8.85366542803745
1,0,1,1,1,3.2445435716167785,2,0,1,13,1,0,0,0,8.85366542803745
1,0,1,1,1,3.2445435716167785,2,0,0,8,0,1,0,-0.25131442825233463,3.912023005428146
3,0,1,1,1,3.755369195382769,1,0,0,12,1,1,0,0,8.85366542803745
3,0,1,1,1,4.182813210209709,1,0,0,14,0,1,0,-1.504077396876274,8.006367567650246
1,0,1,1,1,3.6122683517420957,1,0,0,7,1,0,0,0,7.313220387090301
1,0,1,1,1,2.1459312829486685,1,0,1,7,1,1,0,0,5.703782474656201
3,0,1,1,1,2.6567569067146595,4,1,1,13,0,1,0,-0.40546510805816444,8.85366542803745
3,0,1,1,1,3.2445435716167785,0,1,0,10,0,1,0,-1.504077396876274,9.740968623038354
1,0,1,1,1,5.072670685015709,2,0,0,7,1,1,0,-0.25131442825233463,6.620073206530356
1,0,1,1,1,5.072670685015709,1,0,1,14,1,0,0,-0.5877866648221189,8.006367567650246
3,0,1,1,1,4.091841432003982,1,0,0,7,0,0,0,-1.504077396876274,7.313220387090301
1,0,1,1,1,4.414614824267033,1,0,0,13,0,1,0,-1.504077396876274,7.313220387090301
3,0,1,1,1,2.1459312829486685,1,0,1,12,1,1,0,-2.197224577436219,8.85366542803745
1,0,1,1,1,4.630837932736669,2,0,0,12,1,1,0,-0.5877866648221189,7.313220387090301
1,0,1,1,1,3.6122683517420957,1,0,1,14,0,0,0,0,8.006367567650246
3,0,1,1,1,4.630837932736669,0.5,0,1,10,1,0,0,-0.6931471805599453,8.85366542803745
3,0,1,1,1,4.091841432003982,1,0,0,14,1,1,0,-1.0986122887681098,8.006367567650246
3,0,1,1,1,3.755369195382769,0,0,1,10,1,0,0,-0.8109302163163287,8.85366542803745
1,0,1,1,1,3.2445435716167785,1,0,0,8,1,0,0,0,8.85366542803745
1,0,1,1,1,5.072670685015709,1,0,0,12,1,1,1,0,8.85366542803745
1,0,1,1,1,4.343155860284888,1.5,0,1,14,1,0,0,-1.504077396876274,5.703782474656201
3,0,1,1,1,3.2445435716167785,0.5,0,0,11,0,1,0,-0.5877866648221189,8.85366542803745
1,0,1,1,1,2.1459312829486685,1,0,0,7,1,1,0,-1.504077396876274,8.85366542803745
1,0,1,1,1,2.9932291433358724,1,0,0,8,1,0,0,-1.504077396876274,8.85366542803745
1,0,1,1,1,3.880532338336775,1,0,1,7,1,0,0,0,8.85366542803745
1,0,1,1,1,3.880532338336775,1,0,0,11,0,0,0,0,8.85366542803745
1,0,1,1,1,3.4452142670789296,1,0,0,14,0,0,0,-0.5877866648221189,8.85366542803745
1,0,1,1,1,3.2445435716167785,2,0,1,9,0,0,0,-0.5877866648221189,3.912023005428146
1,0,1,1,1,4.414614824267033,1,0,0,11,1,0,0,-0.5877866648221189,8.85366542803745
1,0,1,1,1,4.481306198765705,1,0,1,9,1,0,0,-0.5877866648221189,8.85366542803745
1,0,1,1,1,4.091841432003982,1,0,0,7,0,0,1,-1.504077396876274,7.313220387090301
1,0,1,1,1,4.182813210209709,1,0,0,14,0,1,0,-0.5877866648221189,8.85366542803745
3,0,1,1,1,3.4452142670789296,2,0,0,11,1,1,0,-1.504077396876274,8.85366542803745
3,0,1,1,1,5.072670685015709,1,0,1,11,0,1,0,-1.504077396876274,7.313220387090301
3,0,1,1,1,3.9917579734469997,1,0,0,12,0,0,0,-0.8109302163163287,8.006367567650246
1,0,1,1,1,3.4452142670789296,1,0,0,13,0,1,0,0,6.620073206530356
1,0,1,1,1,3.6122683517420957,1,0,0,8,1,1,0,-0.11778303564388351,5.703782474656201
1,0,1,1,1,3.9917579734469997,1,0,0,8,0,0,0,-0.8109302163163287,8.85366542803745
1,0,1,1,1,4.481306198765705,1,0,0,10,0,1,0,-1.504077396876274,6.620073206530356
3,0,1,1,1,1.047318994280559,1,0,1,10,0,1,0,0,8.85366542803745
1,0,1,1,1,2.9932291433358724,2,0,1,8,1,1,0,-1.504077396876274,6.620073206530356
3,0,1,1,1,4.630837932736669,1,0,0,13,1,1,0,-1.504077396876274,8.85366542803745
3,0,1,1,1,3.755369195382769,1,0,1,8,1,0,0,-1.0986122887681098,8.006367567650246
1,0,1,1,1,3.6122683517420957,1,0,0,11,0,0,0,0,8.006367567650246
3,0,1,1,1,2.6567569067146595,0.5,0,1,8,0,1,0,-0.6931471805599453,6.620073206530356
1,0,1,1,1,4.414614824267033,1,0,0,10,0,0,1,-0.40546510805816444,8.85366542803745
3,0,1,1,1,4.630837932736669,1,0,0,8,0,1,0,-0.5877866648221189,8.85366542803745
1,0,1,1,1,2.6567569067146595,1,0,0,10,0,1,0,-0.40546510805816444,5.703782474656201
3,0,1,1,1,3.2445435716167785,1,0,1,8,1,0,0,-1.504077396876274,8.006367567650246
1,0,1,1,1,3.4452142670789296,2,0,1,14,0,0,0,0,8.85366542803745
3,0,1,1,1,3.9917579734469997,1,0,1,13,1,0,0,-1.504077396876274,8.85366542803745
3,0,1,1,1,3.880532338336775,1,0,0,14,0,1,0,0,8.85366542803745
1,0,1,1,1,3.880532338336775,1,0,0,12,0,1,0,-1.0986122887681098,3.912023005428146
1,0,1,1,1,4.091841432003982,1,0,0,7,0,1,0,-0.25131442825233463,8.85366542803745
3,0,1,1,1,2.1459312829486685,0,0,1,10,1,1,0,-1.504077396876274,10.308952660644293
1,0,1,1,1,3.755369195382769,1.5,0,1,10,1,1,0,0,9.740968623038354
3,0,1,1,1,4.481306198765705,1,0,0,13,1,0,0,0,9.740968623038354
1,0,1,1,1,3.755369195382769,2,0,0,7,0,0,0,-1.504077396876274,9.740968623038354
3,0,1,1,1,3.880532338336775,2,0,0,10,1,0,0,-1.0986122887681098,6.620073206530356
1,0,1,1,1,2.6567569067146595,1,1,0,7,0,0,0,0,8.85366542803745
1,0,1,1,1,4.26619481914876,1,0,0,14,0,0,0,0,3.912023005428146
3,0,1,1,1,3.4452142670789296,1,0,0,12,1,0,0,-2.197224577436219,5.703782474656201
1,0,1,1,1,5.072670685015709,3,0,1,8,1,0,0,0,8.006367567650246
3,0,1,1,1,3.4452142670789296,1,0,0,14,1,1,0,-0.5877866648221189,9.740968623038354
3,0,1,1,1,3.2445435716167785,0,0,0,10,1,1,0,-2.197224577436219,10.308952660644293
1,0,1,1,1,3.755369195382769,1,0,0,11,1,0,0,-1.0986122887681098,8.85366542803745
1,0,1,1,1,3.4452142670789296,1,0,1,9,1,0,0,-0.6931471805599453,8.006367567650246
1,0,1,1,1,4.343155860284888,1,0,0,14,0,1,0,0,8.85366542803745
3,0,1,1,1,3.2445435716167785,1,0,1,9,1,0,0,-0.6931471805599453,5.703782474656201
1,0,1,1,1,2.6567569067146595,1,0,1,14,1,1,0,-0.5877866648221189,6.620073206530356
1,0,1,1,1,2.6567569067146595,1,0,0,7,1,1,0,-0.5877866648221189,7.313220387090301
1,0,1,1,1,4.481306198765705,2,0,0,12,1,0,0,-0.5877866648221189,3.912023005428146
3,0,1,1,1,3.755369195382769,1,0,1,12,0,0,0,0.20067069544396943,6.620073206530356
1,0,1,1,1,2.9932291433358724,0.5,0,1,11,0,0,0,-1.0986122887681098,8.006367567650246
3,0,1,1,1,2.1459312829486685,0,0,1,13,1,1,0,-1.0986122887681098,10.308952660644293
1,0,1,1,1,4.343155860284888,1,0,0,8,1,1,0,-0.25131442825233463,6.620073206530356
1,0,1,1,1,3.755369195382769,1,0,0,9,1,0,0,0,8.006367567650246
3,0,1,1,1,1.047318994280559,0.5,0,1,12,1,1,1,-1.0986122887681098,8.85366542803745
2,0,1,1,1,1.047318994280559,0.5,0,1,11,1,1,0,0,9.740968623038354
1,0,1,1,1,4.630837932736669,1,0,0,11,0,0,0,0,8.85366542803745
1,0,1,1,1,4.630837932736669,1,0,1,12,1,0,0,0,9.740968623038354
1,0,1,1,1,4.630837932736669,1,0,0,13,0,0,0,-0.5877866648221189,8.85366542803745
3,0,1,1,1,4.26619481914876,2,0,0,13,0,0,0,-1.504077396876274,8.006367567650246
1,0,1,1,1,3.755369195382769,1,0,1,8,0,1,0,-2.197224577436219,8.006367567650246
1,0,1,1,1,4.630837932736669,1,0,0,8,0,1,0,-2.197224577436219,8.006367567650246
1,0,1,1,1,3.9917579734469997,1,0,0,14,0,1,0,-0.25131442825233463,3.912023005428146
1,0,1,1,1,4.182813210209709,1,0,0,10,1,1,0,-2.197224577436219,8.006367567650246
1,0,1,1,1,5.072670685015709,1,0,0,13,0,0,0,-0.5877866648221189,8.85366542803745
1,0,1,1,1,2.9932291433358724,1,0,1,8,1,1,0,0,6.620073206530356
1,0,1,1,1,4.091841432003982,2,0,1,11,1,1,0,0,8.85366542803745
1,0,1,1,1,3.9917579734469997,1,0,0,10,1,1,0,0,7.313220387090301
1,0,1,1,1,4.091841432003982,1,0,0,12,1,0,1,0,8.85366542803745
1,0,1,1,1,4.481306198765705,1.5,1,0,14,0,0,0,0,8.85366542803745
3,0,1,1,1,4.630837932736669,1,0,0,9,0,0,1,0,5.703782474656201
1,0,1,1,1,4.481306198765705,1,0,0,11,1,0,0,-2.197224577436219,3.912023005428146
1,0,1,1,1,4.414614824267033,0.5,1,0,10,1,0,0,0,7.313220387090301
3,0,1,1,1,4.481306198765705,1,0,0,11,1,1,0,0,8.006367567650246
1,0,1,1,1,3.4452142670789296,2,0,0,14,1,1,0,-0.5877866648221189,3.912023005428146
3,0,1,1,1,3.880532338336775,1,1,0,12,0,1,0,-0.5877866648221189,7.313220387090301
1,0,1,1,1,4.182813210209709,2,0,0,13,1,1,0,0,6.620073206530356
1,0,1,1,1,4.091841432003982,1,0,0,12,1,0,1,0,9.740968623038354
1,0,1,1,1,5.072670685015709,0.6666666666666666,0,1,7,0,1,1,-1.504077396876274,8.006367567650246
3,0,1,1,1,2.1459312829486685,0,0,1,8,1,1,0,-1.0986122887681098,9.740968623038354
1,0,1,1,1,4.630837932736669,1,0,0,9,1,1,0,0,8.006367567650246
3,0,1,1,1,3.4452142670789296,1,0,0,11,0,0,1,0,8.85366542803745
1,0,1,1,1,4.481306198765705,1.5,0,0,9,0,1,0,-0.5877866648221189,7.313220387090301
1,0,1,1,1,3.755369195382769,1,0,0,10,1,1,0,0,8.85366542803745
3,0,1,1,1,2.6567569067146595,0,1,1,13,0,0,0,-0.5877866648221189,8.006367567650246
1,0,1,1,1,4.182813210209709,1.5,0,1,10,1,1,0,-1.504077396876274,8.006367567650246
3,0,1,1,1,2.9932291433358724,2,0,1,12,1,1,0,-1.504077396876274,10.308952660644293
1,0,1,1,1,5.072670685015709,1,0,0,8,0,1,0,-0.5877866648221189,8.85366542803745
1,0,1,1,1,4.481306198765705,1,1,0,14,1,1,0,0,5.703782474656201
1,0,1,1,1,5.072670685015709,1,0,0,14,0,0,0,-0.5877866648221189,5.703782474656201
3,0,1,1,1,4.630837932736669,1.5,0,0,10,0,1,0,-1.0986122887681098,7.313220387090301
1,0,1,1,1,4.343155860284888,1,0,0,12,0,1,0,-0.5877866648221189,7.313220387090301
1,0,1,1,1,3.6122683517420957,0.5,0,0,12,1,0,0,0,6.620073206530356
1,0,1,1,1,2.9932291433358724,1,0,1,7,0,1,0,-1.504077396876274,9.740968623038354
3,0,1,1,1,3.2445435716167785,0.5,0,0,12,0,0,1,-0.5877866648221189,8.85366542803745
3,0,1,1,1,3.9917579734469997,1,0,0,14,0,0,1,-0.5877866648221189,8.85366542803745
3,0,1,1,1,4.630837932736669,1,0,0,14,0,1,0,0,8.85366542803745
1,0,1,1,1,2.6567569067146595,1,0,0,14,1,0,0,-1.0986122887681098,9.740968623038354
3,0,1,1,1,5.072670685015709,1,0,1,9,0,1,0,-1.504077396876274,3.912023005428146
3,0,1,1,1,4.630837932736669,0.5,0,0,7,0,1,0,-0.5877866648221189,9.740968623038354
1,0,1,1,1,5.072670685015709,1,0,1,10,1,1,0,-0.5877866648221189,8.006367567650246
3,0,1,1,1,4.481306198765705,1,0,0,10,0,1,0,-0.5877866648221189,5.703782474656201
3,0,1,1,1,3.9917579734469997,2,0,1,8,0,1,0,-1.0986122887681098,9.740968623038354
1,0,1,1,1,5.072670685015709,1.5,0,0,12,1,1,0,-0.5877866648221189,5.703782474656201
1,0,1,1,1,4.630837932736669,1,0,0,9,0,0,0,0,8.006367567650246
1,0,1,1,1,5.072670685015709,1.5,0,1,11,0,1,0,0,7.313220387090301
1,0,1,1,1,5.072670685015709,1,0,0,7,0,0,0,-0.5877866648221189,7.313220387090301
3,0,1,1,1,5.072670685015709,2,0,1,12,1,1,0,-0.40546510805816444,8.85366542803745
1,0,1,1,1,5.072670685015709,1,0,0,8,0,1,0,0,8.85366542803745
3,0,1,1,1,5.072670685015709,1,0,0,10,0,1,0,-1.504077396876274,8.006367567650246
1,0,1,1,1,5.072670685015709,1,0,0,7,0,1,0,-2.197224577436219,7.313220387090301
1,0,1,1,1,4.343155860284888,1,0,1,14,0,1,0,-0.5877866648221189,8.006367567650246
1,0,1,1,1,4.182813210209709,1,0,1,11,0,0,0,0,5.703782474656201
3,0,1,1,1,4.630837932736669,1.5,0,1,13,0,1,0,-0.25131442825233463,6.620073206530356
1,0,1,1,1,2.9932291433358724,1,0,0,9,1,1,0,-0.40546510805816444,8.006367567650246
3,0,1,1,1,5.072670685015709,2,0,0,10,0,0,1,-0.5877866648221189,8.85366542803745
3,0,1,1,1,4.630837932736669,1,0,1,13,0,0,0,0,8.85366542803745
1,0,1,1,1,5.072670685015709,1,0,0,12,1,1,0,-0.25131442825233463,7.313220387090301
1,0,1,1,1,2.6567569067146595,0.5,1,0,11,1,0,0,0,9.740968623038354
3,0,1,1,1,4.182813210209709,1,0,0,12,1,1,0,-2.197224577436219,6.620073206530356
3,0,1,1,1,3.6122683517420957,1,0,0,14,0,1,0,0,7.313220387090301
3,0,1,1,1,4.481306198765705,0.5,0,0,12,1,0,0,-1.504077396876274,3.912023005428146
3,0,1,1,1,4.481306198765705,1,0,0,10,0,1,0,-2.197224577436219,8.006367567650246
1,0,1,1,1,3.6122683517420957,1,0,0,9,1,0,0,-1.504077396876274,8.85366542803745
1,0,1,1,1,4.481306198765705,1,0,0,9,1,1,0,-1.504077396876274,8.85366542803745
1,0,1,1,1,2.6567569067146595,0.5,0,0,10,0,0,0,-1.504077396876274,5.703782474656201
1,0,1,1,1,4.630837932736669,1,0,1,10,1,1,0,0,8.85366542803745
3,0,1,1,1,5.072670685015709,1,0,1,7,1,1,0,-1.504077396876274,8.85366542803745
3,0,1,1,1,5.072670685015709,1,0,0,7,1,1,0,-1.0986122887681098,8.006367567650246
3,0,1,1,1,4.481306198765705,1,1,1,8,1,1,0,0,8.006367567650246
1,0,1,1,1,5.072670685015709,1,0,0,10,1,0,0,0,9.740968623038354
2,0,1,1,1,3.4452142670789296,0.3333333333333333,0,0,8,0,0,1,-0.25131442825233463,10.308952660644293
1,0,1,1,1,4.26619481914876,1,0,0,12,1,1,0,-0.40546510805816444,8.006367567650246
1,0,1,1,1,5.072670685015709,1,0,0,14,0,0,0,0,7.313220387090301
1,0,1,1,1,4.630837932736669,1,0,0,8,1,1,0,-0.5877866648221189,6.620073206530356
1,0,1,1,1,3.755369195382769,1.5,0,0,14,0,0,0,0,8.85366542803745
1,0,1,1,1,5.072670685015709,1,0,0,7,0,0,0,-0.5877866648221189,8.85366542803745
3,0,1,1,1,4.630837932736669,1,0,0,8,1,1,0,-0.11778303564388351,8.85366542803745
1,0,1,1,1,5.072670685015709,1,0,0,7,1,1,0,-0.25131442825233463,8.85366542803745
3,0,1,1,1,4.481306198765705,1,0,0,13,1,1,0,-0.25131442825233463,5.703782474656201
3,0,1,1,1,4.414614824267033,1.5,0,0,11,0,1,0,0,8.85366542803745
1,0,1,1,1,4.630837932736669,1,0,0,8,0,0,0,-0.25131442825233463,3.912023005428146
3,0,1,1,1,5.072670685015709,1,0,0,8,1,1,0,-1.504077396876274,8.85366542803745
3,0,1,1,1,4.481306198765705,1.5,0,0,11,0,0,0,-1.504077396876274,8.85366542803745
1,0,1,1,1,4.630837932736669,1,0,0,9,1,1,0,0,8.006367567650246
3,0,1,1,1,4.343155860284888,1,0,0,10,0,1,0,-1.504077396876274,8.006367567650246
1,0,1,1,1,3.755369195382769,2,0,0,8,0,0,0,0,7.313220387090301
1,0,1,1,1,5.072670685015709,1,0,0,9,1,1,0,0,7.313220387090301
3,0,1,1,1,3.9917579734469997,1.5,0,0,10,0,1,0,-0.6931471805599453,8.85366542803745
3,0,1,1,1,2.9932291433358724,1,0,1,14,0,1,0,-2.197224577436219,8.85366542803745
1,0,1,1,1,4.182813210209709,2,0,0,13,0,0,1,0,8.006367567650246
1,0,1,1,1,3.6122683517420957,1,0,1,7,1,1,0,-0.25131442825233463,8.85366542803745
1,0,1,1,1,3.4452142670789296,1,0,1,8,0,1,0,-2.197224577436219,8.85366542803745
1,0,1,1,1,5.072670685015709,1,0,0,9,0,0,0,-0.5877866648221189,5.703782474656201
3,0,1,1,1,5.072670685015709,0,0,0,12,0,0,0,0,10.308952660644293
1,0,1,1,1,4.481306198765705,1,0,0,11,0,1,0,-0.25131442825233463,5.703782474656201
1,0,1,1,1,5.072670685015709,1,0,0,10,1,0,0,-1.0986122887681098,8.85366542803745
1,0,1,1,1,4.630837932736669,1,0,1,14,1,1,0,0,3.912023005428146
1,0,1,1,1,4.481306198765705,1,0,0,13,0,1,0,-0.5877866648221189,8.006367567650246
1,0,1,1,1,3.880532338336775,1,0,1,7,0,0,0,0.10536051564782635,9.740968623038354
3,0,1,1,1,4.630837932736669,1,0,0,9,0,1,0,-0.8109302163163287,8.006367567650246
1,0,1,1,1,3.880532338336775,2.5,0,0,9,0,0,0,-0.25131442825233463,8.85366542803745
1,0,1,1,1,4.630837932736669,1,0,0,7,1,1,0,-1.504077396876274,8.85366542803745
1,0,1,1,1,3.9917579734469997,1,0,0,9,0,0,0,-1.0986122887681098,7.313220387090301
1,0,1,1,1,4.414614824267033,1,0,0,9,1,0,0,0,8.006367567650246
3,0,1,1,1,2.1459312829486685,1,0,0,14,1,1,0,-0.8109302163163287,8.006367567650246
3,0,1,1,1,5.072670685015709,1,0,0,12,0,1,0,-1.0986122887681098,8.85366542803745
3,0,1,1,1,3.755369195382769,1,0,0,14,0,1,0,-2.197224577436219,8.006367567650246
1,0,1,1,1,4.630837932736669,1,0,0,7,0,1,0,0,8.85366542803745
3,0,1,1,1,4.630837932736669,1,0,0,13,0,0,0,0,9.740968623038354
1,0,1,1,1,3.4452142670789296,1,1,0,13,0,0,0,0,7.313220387090301
1,0,1,1,1,3.755369195382769,1,0,1,9,1,1,0,0,9.740968623038354
